video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=yOlPBD00-LM&pp=ygUNVVMgYWlkIElzcmFlbA%3D%3D,/@ABCNews,ABC News,US boosts aid to Israel | WNN,15K,3 months,"The first plane carrying American ammunition has arrived in Israel. Meanwhile, the U.S. military is considering sending a second ...",2024-01-30 08:53:25.526154
/watch?v=NLcWaty9osg&pp=ygUNVVMgYWlkIElzcmFlbA%3D%3D,/@ajplus,AJ+,US Aid To Israel - The Real Deal,219K,9 years,"The special relationship between Israel and the United States goes deep...real deep. It's based on security, conflict and most of all ...",2024-01-30 08:53:25.529246
/watch?v=cHgKHOlg-gk&pp=ygUNVVMgYWlkIElzcmFlbA%3D%3D,/@CBCTheNational,CBC News: The National,U.S. sends aid to Israel as world leaders try to de-escalate war with Hamas,32K,3 months,The U.S. was quick to send military aid to Israel after a Hamas attack as international outrage and calls for calm poured in. #news ...,2024-01-30 08:53:25.531825
/watch?v=58Vuq0qnUCQ&pp=ygUNVVMgYWlkIElzcmFlbA%3D%3D,/@MiddleEastEye,Middle East Eye,Columbia Professor: The US is ‘isolated globally for supporting Israel’,80K,4 weeks,"In a podcast streamed on Youtube with Judging Freedom, Columbia University Professor Jefferey Sachs spoke and criticised ...",2024-01-30 08:53:25.534100
/watch?v=pRc2IQl1-Dk&pp=ygUNVVMgYWlkIElzcmFlbA%3D%3D,/@TODAY,TODAY,"White House sends aid to Israel, moves US warships closer to area",93K,3 months,The United States is sending warships and fighter jets to the region near Israel as a show of support after the deadly attack by ...,2024-01-30 08:53:32.062479
/watch?v=ep_-eJPfrl4&pp=ygUNVVMgYWlkIElzcmFlbA%3D%3D,/@CBSNews,CBS News,First U.S. weapons shipment arrives in Israel,403K,3 months,"President Biden reiterated U.S. support of Israel on Tuesday, vowing to continue sending military assistance. The president and ...",2024-01-30 08:53:32.065530
/watch?v=KuS-7sJL_kI&pp=ygUNVVMgYWlkIElzcmFlbA%3D%3D,/@InsiderNews,Insider News,A Breakdown Of Military Aid US Is Sending To Israel | Insider News,36K,3 months,"President Joe Biden asked Congress for $14.3 billion to aid Israel with fighter jets, interceptors and missile defense systems.",2024-01-30 08:53:32.068331
/watch?v=lqYDuY4bQug&pp=ygUNVVMgYWlkIElzcmFlbA%3D%3D,/@dwnews,DW News,"US Senate Republicans block military aid for Israel, Ukraine and Taiwan | DW News",72K,1 month,US Republican senators have blocked a bill aimed at providing billions of dollars of military aid to Ukraine and Israel. They insist ...,2024-01-30 08:53:32.071248
/watch?v=Vkamgm8y7CU&pp=ygUNVVMgYWlkIElzcmFlbA%3D%3D,/@BBCNews,BBC News,US Republicans block Ukraine and Israel aid bill - BBC News,286K,1 month,US Senate Republicans have blocked a move to pass an aid bill for Ukraine after failing to secure border compromises they ...,2024-01-30 08:53:32.073979
/watch?v=QqHTxGSeXDA&pp=ygUNVVMgYWlkIElzcmFlbA%3D%3D,/@markets,Bloomberg Television,House Passes $14 Billion Israel Aid Package,6.8K,2 months,"House Republicans, led by newly installed Speaker Mike Johnson, passed a $14.3 billion Israel aid package tied to cuts in IRS ...",2024-01-30 08:53:32.076698
